,title,m_title,score,u_genre_id,m_id,,m_author,,author
0,The savages of Europe,The sign of four,65,,DoylASF,,"Doyle, Arthur Conan",,"Lesuire, Robert Martin,"
1,Eloisa: or A series of or,CLARISSA. OR THE HISTORY OF A YOUNG LADY: Comprehending The most Important Concerns of Private LIFE And particularly shewing The DISTRESSES that may attend the Misconduct Both of PARENTS and CHILDREN In Relation to MARRIAGE. Published by the EDITOR of PAMELA. VOL. IV.,57,,RichSCO3,,"Richardson, Samuel, 1689-1761",,"Rousseau, Jean-Jacques,"
2,The castle of Otranto;,THE CASTLE of OTRANTO A STORY. Translated by WILLIAM MARSHAL Gent. From the Original ITALIAN of ONUPHRIO MURALTO CANON of the Church of St. NICHOLAS at OTRANTO.,93,njp.32101067487007,WalpHCO,,"Walpole, Horace, 1717-1797",,"Walpole, Horace,"
3,Memoirs of the year two t,Dreamers of the Ghetto,67,,ZangIDG,,"Zangwill, Israel",,"Mercier, Louis-S??bastien,"
4,Letters from Henrietta to,News from nowhere,57,,MorrWNF,,"Morris, William",,Henrietta.
5,The old English baron,The Coral Island,59,,BallRCI,,"Ballantyne, R. M.",,"Reeve, Clara,"
6,Letters of Madame Du Montier,Little Lord Fauntleroy,52,,BurnFLL,,"Burnett, Frances Hodgson",,"Leprince de Beaumont,"
7,The new Robinson Crusoe;,The Heroine,57,,BarrEH,,"Barrett, Eaton Stannard",,"Campe, Joachim Heinrich,"
8,Tales of the castle;,A tale of two cities,65,,DickCTT,,"Dickens, Charles",,"Genlis, St??phanie F??licit??"
9,The recess;,The professor,67,,BronCP,,"Bronte, Charlotte",,"Lee, Sophia,"
10,"Anna; or, Memoirs of a Welch Heiress",ARTHUR MERVYN; OR MEMOIRS OF THE YEAR 1793.,68,,BrowCAM,,"Brown, Charles Brockden, 1771-1810",,"Bennett, Anna Maria,"
11,Vathek,Ivanhoe,62,,ScotWI,,"Scott, Walter, Sir",,"Beckford, William,"
12,Heloise: or The siege of ,CLARISSA. OR THE HISTORY OF A YOUNG LADY: Comprehending The most Important Concerns of Private LIFE And particularly shewing The DISTRESSES that may attend the Misconduct Both of PARENTS and CHILDREN In Relation to MARRIAGE. Published by the EDITOR of PAMELA. VOL. IV.,59,,RichSCO3,,"Richardson, Samuel, 1689-1761",,"Berkeley, George Monck,"
13,Emmeline,The Heroine,53,,BarrEH,,"Barrett, Eaton Stannard",,"Smith, Charlotte,"
14,Emmeline,The Heroine,53,,BarrEH,,"Barrett, Eaton Stannard",,"Smith, Charlotte,"
15,The adventures of John of,THE ADVENTURES OF HUGH TREVOR. BY THOMAS HOLCROFT.,76,,HolcTAH,,"Holcroft, Thomas, 1745-1809",,"White, James,"
16,A Sicilian romance,Silas Marner,60,,ElioGSM,,"Eliot, George",,"Radcliffe, Ann Ward,"
17,The negro equalled by few,The way of all flesh,53,,ButlSWA,,"Butler, Samuel",,"Lavall??e, Joseph,"
18,A Sicilian romance,Silas Marner,60,,ElioGSM,,"Eliot, George",,"Radcliffe, Ann Ward,"
19,The devil upon two sticks,The mill on the floss,61,,ElioGMF,,"Eliot, George",,"Combe, William,"
20,The school for widows,The sign of four,54,,DoylASF,,"Doyle, Arthur Conan",,"Reeve, Clara,"
21,The romance of the forest,The prophet of the Great Smoky Mountains,73,,MurfMPG,,"Murfree, Mary Noailles",,"Radcliffe, Ann Ward,"
22,The adventures of Caleb W,The adventures of Sherlock Holmes,72,,DoylAAS,,"Doyle, Arthur Conan, Sir",,"Godwin, William,"
23,Turkish tales,The entail,52,,GaltJE,,"Galt, John",,"Moser, Joseph,"
24,"Ellen, Countess of Castle Howel",Confessions of a thug,50,,TaylMCT,,"Taylor, Meadows",,"Bennett, Anna Maria,"
25,The mysteries of Udolpho,THE MYSTERIES of UDOLPHO A ROMANCE; INTERSPERSED WITH SOME PIECES OF POETRY.,96,njp.32101051650776,RadcAMU2,,"Radcliffe, Ann Ward, 1764-1823",,"Radcliffe, Ann Ward,"
26,The mysteries of Udolpho,THE MYSTERIES of UDOLPHO A ROMANCE; INTERSPERSED WITH SOME PIECES OF POETRY.,96,mdp.39015063950102,RadcAMU2,,"Radcliffe, Ann Ward, 1764-1823",,"Radcliffe, Ann Ward,"
27,Memoirs of Mary,Memoirs of Emma Courtney,77,,HaysMME,,"Hays, Mary",,"Gunning,"
28,Henry,Henry Esmond,59,,ThacWHE,,"Thackeray, William Makepeace",,"Cumberland, Richard,"
29,The monk,The moonstone,67,,CollWM,,"Collins, Wilkie",,"Lewis, M. G."
30,The children of the abbey,The prophet of the Great Smoky Mountains,61,,MurfMPG,,"Murfree, Mary Noailles",,"Roche, Regina Maria,"
31,"Camilla: or, A picture of",CLARISSA. OR THE HISTORY OF A YOUNG LADY: Comprehending The most Important Concerns of Private LIFE And particularly shewing The DISTRESSES that may attend the Misconduct Both of PARENTS and CHILDREN In Relation to MARRIAGE. Published by the EDITOR of PAMELA. VOL. IV.,58,,RichSCO3,,"Richardson, Samuel, 1689-1761",,"Burney, Fanny,"
32,The monk,The moonstone,67,,CollWM,,"Collins, Wilkie",,"Lewis, M. G."
33,"Wieland; or, The transfor",WIELAND; OR THE TRANSFORMATION.,86,mdp.39015005076883,BrowCWO,,"Brown, Charles Brockden, 1771-1810",,"Brown, Charles Brockden,"
34,St. Leon: a tale of the s,St. Leon : a tale of the sixteenth century,89,mdp.39015003931113,GodwWSL2,,"Godwin, William",,"Godwin, William,"
35,The false friend,The Coral Island,62,,BallRCI,,"Ballantyne, R. M.",,"Robinson, Mary Darby,"
36,Memoirs of modern philosophers,Memoirs of Emma Courtney,59,,HaysMME,,"Hays, Mary",,"Hamilton, Elizabeth,"
37,Russian tales,Redgauntlet,50,,ScotWR,,"Scott, Walter, Sir",,"Karamzin, Nikola?_ Mikha?_lovich,"
38,Old Nick;,Nicholas Nickleby,54,,DickCNN,,"Dickens, Charles",,"Du Bois, Edward,"
39,Old Nick;,Nicholas Nickleby,54,,DickCNN,,"Dickens, Charles",,"Du Bois, Edward,"
40,Grasville Abbey,Nightmare Abbey,60,,PeacTNA,,"Peacock, Thomas Love",,"Moore, George,"
41,"The white knight, or, The monastery of Morne",THE Female QUIXOTE; OR THE ADVENTURES OF ARABELLA. In TWO VOLUMES. VOL. II.,59,,LennCFQ2,,"Lennox, Charlotte, ca. 1729-1804",,"Melville, Theodore."
42,Home,She,57,,HaggHS,,"Haggard, H. Rider",,"Cullen, Margaret."
43,Letters of Miss Riversdale,Luttrell Of Arran,51,,LeveCLA,,"Lever, Charles James",,Anonymous0
44,Don Raphael,Roland Cashel,58,,LeveCRC,,"Lever, Charles James",,"Walker, George,"
45,Romance of the Pyrenees,Annals of the parish,60,,GaltJAP,,"Galt, John",,"Cuthbertson, Catherine."
46,"Barbara Markham; or, The profligate requited;","Bracebridge Hall, or, The humorists : a medley (Vol. 2/2)",54,,IrviWBH2,,"Irving, Washington",,Anonymous7
47,Romance of the Pyrenees,Annals of the parish,60,,GaltJAP,,"Galt, John",,"Cuthbertson, Catherine."
48,Canterbury tales,Water-babies,57,,KingCW,,"Kingsley, Charles",,"Lee, Harriet,"
49,Romance of the Pyrenees,Annals of the parish,60,,GaltJAP,,"Galt, John",,"Cuthbertson, Catherine."
50,Romance of the Pyrenees,Annals of the parish,60,,GaltJAP,,"Galt, John",,"Cuthbertson, Catherine."
51,"Right and wrong; or, The kinsmen of Naples",THE YOUNG WIDOW; OR THE HISTORY OF CORNELIA SEDLEY IN A SERIES OF LETTERS.,60,,HaylWYW,,"Hayley, William, 1745-1820",,"Young, Mary Julia."
52,Madame de Maintenon,Time machine,52,,WellHTM,,"Wells, H. G.",,"Genlis, St??phanie F??licit??,"
53,"Vivonio, or, The hour of retribution",CLARISSA. OR THE HISTORY OF A YOUNG LADY: Comprehending The most Important Concerns of Private LIFE And particularly shewing The DISTRESSES that may attend the Misconduct Both of PARENTS and CHILDREN In Relation to MARRIAGE. Published by the EDITOR of PAMELA. VOL. IV.,59,,RichSCO3,,"Richardson, Samuel, 1689-1761",,"Frances, Sophia L."
54,A winter in Bath,Cloister and hearth,57,,ReadCCH,,"Reade, Charles",,"Bayfield, E. G.,"
55,"The discarded son; or, Haunt of the banditti",THE CASTLE of OTRANTO A STORY. Translated by WILLIAM MARSHAL Gent. From the Original ITALIAN of ONUPHRIO MURALTO CANON of the Church of St. NICHOLAS at OTRANTO.,59,,WalpHCO,,"Walpole, Horace, 1717-1797",,"Roche, Regina Maria,"
56,The libertine;,The Heroine,72,,BarrEH,,"Barrett, Eaton Stannard",,"Dacre, Charlotte,"
57,The friar Hildargo,The Coral Island,59,,BallRCI,,"Ballantyne, R. M.",,"Mortimer, Edward,"
58,Letters from the mountain,Far from the madding crowd,59,,HardTFF,,"Hardy, Thomas",,"Grant, Anne MacVicar,"
